T_s,Runs,PDR_mean_percent,PDR_std,Loss_mean_percent,Loss_std,Delay_mean_ms,Delay_std_ms,Throughput_mean_bps,Throughput_std_bps,Total_Energy_mean_J,Total_Energy_std_J,Energy_per_packet_mean_mJ,Energy_per_packet_std_mJ
1,5,99.99719730941705,0.00626700666339516,0.0028026905829596415,0.006267006663396271,5.64223804731558,0.23615923668095384,4763.866666666667,7.045881381661324,16.14728575279138,0.055709587776344,2.2596952212392645,0.009210833765895708
5,5,100.0,0.0,0.0,0.0,5.40569205913874,0.014601191770003257,956.2666666666667,1.1155467020454148,3.263661447124972,0.0037612275448505295,2.275279901072902,3.3714674480869386e-05
10,5,100.0,0.0,0.0,0.0,5.40531222702222,0.021922137678345256,480.0,0.0,1.657607259114976,1.2574640787379064e-05,2.3022323043263557,1.7464778871175123e-05
30,5,100.0,0.0,0.0,0.0,5.3993566714666805,0.04398424697602211,160.0,0.0,0.577218389354933,1.2533751825172788e-05,2.405076622312221,5.222396593832483e-05
60,5,100.0,0.0,0.0,0.0,5.37322333813334,0.044806335126016984,80.0,0.0,0.3054962363949344,1.254609940997475e-05,2.5458019699577865,0.00010455082841649472
