T_s,RR_Runs,RR_Requests_mean,RR_Responses_mean,RR_Delivery_percent,RR_Loss_percent,RR_RTT_mean_ms,RR_RTT_std_ms,RR_RTT_min_ms,RR_RTT_max_ms,RR_AppPackets_mean,PUB_Runs,PUB_Sent_mean,PUB_Received_mean,PUB_Delivery_percent,PUB_Loss_percent,PUB_Delay_mean_ms,PUB_Delay_std_ms,PUB_Delay_min_ms,PUB_Delay_max_ms,PUB_AppPackets_mean,RR_to_PUB_AppPacket_Ratio
1,5,7188.0,7186.4,99.9777406789093,0.022259321090706406,12.461079464220438,1.2373194379149808,9.149605163999999,51.17196536,14376.0,5,7188.0,7188.0,100.0,0.0,5.66566451787736,0.2043023753523693,4.302805561,33.838823705,7188.0,2.0
5,5,1440.0,1439.4,99.95833333333333,0.04166666666666572,12.45757857394375,1.2786252795403894,9.149605163999999,48.804742377,2880.0,5,1440.0,1440.0,100.0,0.0,5.65393889368888,0.2220565739527924,4.302805561,21.342806717,1440.0,2.0
10,5,720.0,719.6,99.94444444444444,0.05555555555555429,12.428676035539434,1.259620701828144,9.149611122000001,48.804742377,1440.0,5,720.0,720.0,100.0,0.0,5.65682778257776,0.22519443997928165,4.302805561,21.342806717,720.0,2.0
30,5,240.0,239.8,99.91666666666667,0.08333333333333429,12.455428581149546,1.3640763181982603,9.14961826,48.804742377,480.0,5,240.0,240.0,100.0,0.0,5.630863338133341,0.23998945171679517,4.302805561,21.342806717,240.0,2.0
60,5,120.0,119.8,99.83333333333333,0.1666666666666657,12.41636805633745,1.3895195215323268,9.14962515,48.804742377,240.0,5,120.0,120.0,100.0,0.0,5.65583667146666,0.3133644855016692,4.302805561,21.342806717,120.0,2.0
