run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max
PUB_T1-0-20260914-20:25:42-1884,runattr,,,inifile,omnetpp.ini,,,,,,,
PUB_T1-0-20260914-20:25:42-1884,runattr,,,iterationvars,,,,,,,,
PUB_T1-0-20260914-20:25:42-1884,runattr,,,iterationvarsd,,,,,,,,
PUB_T1-0-20260914-20:25:42-1884,runattr,,,iterationvarsf,,,,,,,,
PUB_T1-0-20260914-20:25:42-1884,runattr,,,measurement,,,,,,,,
PUB_T1-0-20260914-20:25:42-1884,runattr,,,network,simulations.experiment4_application_strategy.ApplicationStrategyNetwork,,,,,,,
PUB_T1-0-20260914-20:25:42-1884,runattr,,,processid,1884,,,,,,,
PUB_T1-0-20260914-20:25:42-1884,runattr,,,repetition,0,,,,,,,
PUB_T1-0-20260914-20:25:42-1884,runattr,,,replication,#0,,,,,,,
PUB_T1-0-20260914-20:25:42-1884,runattr,,,resultdir,results,,,,,,,
PUB_T1-0-20260914-20:25:42-1884,runattr,,,runnumber,0,,,,,,,
PUB_T1-0-20260914-20:25:42-1884,runattr,,,seedset,0,,,,,,,
PUB_T1-0-20260914-20:25:42-1884,config,,,image-path,../../../inet-4.6.0/images,,,,,,,
PUB_T1-0-20260914-20:25:42-1884,config,,,extends,PublishSubscribeBase,,,,,,,
PUB_T1-0-20260914-20:25:42-1884,config,,,*.sensor[*].app[0].sendInterval,1s,,,,,,,
PUB_T1-0-20260914-20:25:42-1884,config,,,repeat,5,,,,,,,
PUB_T1-0-20260914-20:25:42-1884,config,,,seed-set,0,,,,,,,
PUB_T1-0-20260914-20:25:42-1884,config,,,extends,Common,,,,,,,
PUB_T1-0-20260914-20:25:42-1884,config,,,*.sensor[*].numApps,1,,,,,,,
PUB_T1-0-20260914-20:25:42-1884,config,,,*.sensor[*].app[0].typename,UdpBasicApp,,,,,,,
PUB_T1-0-20260914-20:25:42-1884,config,,,*.sensor[*].app[0].destAddresses,"""monitoringServer""",,,,,,,
PUB_T1-0-20260914-20:25:42-1884,config,,,*.sensor[*].app[0].destPort,3000,,,,,,,
PUB_T1-0-20260914-20:25:42-1884,config,,,*.sensor[*].app[0].messageLength,50B,,,,,,,
PUB_T1-0-20260914-20:25:42-1884,config,,,*.sensor[*].app[0].sendInterval,10s,,,,,,,
PUB_T1-0-20260914-20:25:42-1884,config,,,*.sensor[*].app[0].startTime,"uniform(1s,2s)",,,,,,,
PUB_T1-0-20260914-20:25:42-1884,config,,,*.sensor[*].app[0].packetName,"""SensorPublication""",,,,,,,
PUB_T1-0-20260914-20:25:42-1884,config,,,*.monitoringServer.numApps,1,,,,,,,
PUB_T1-0-20260914-20:25:42-1884,config,,,*.monitoringServer.app[0].typename,UdpSink,,,,,,,
PUB_T1-0-20260914-20:25:42-1884,config,,,*.monitoringServer.app[0].localPort,3000,,,,,,,
PUB_T1-0-20260914-20:25:42-1884,config,,,*.sensor[*].app[0].packetSent.result-recording-modes,count,,,,,,,
PUB_T1-0-20260914-20:25:42-1884,config,,,*.monitoringServer.app[0].packetReceived.result-recording-modes,count,,,,,,,
PUB_T1-0-20260914-20:25:42-1884,config,,,*.monitoringServer.app[0].endToEndDelay.result-recording-modes,+stats,,,,,,,
PUB_T1-0-20260914-20:25:42-1884,config,,,network,simulations.experiment4_application_strategy.ApplicationStrategyNetwork,,,,,,,
PUB_T1-0-20260914-20:25:42-1884,config,,,sim-time-limit,600s,,,,,,,
PUB_T1-0-20260914-20:25:42-1884,config,,,*.numSensors,12,,,,,,,
PUB_T1-0-20260914-20:25:42-1884,config,,,**.arp.typename,GlobalArp,,,,,,,
PUB_T1-0-20260914-20:25:42-1884,config,,,**.netmaskRoutes,"""""",,,,,,,
PUB_T1-0-20260914-20:25:42-1884,config,,,*.radioMedium.backgroundNoise.power,-110dBm,,,,,,,
PUB_T1-0-20260914-20:25:42-1884,config,,,*.configurator.config,"xmldoc(""startopology.xml"")",,,,,,,
PUB_T1-0-20260914-20:25:42-1884,config,,,*.configurator.addStaticRoutes,false,,,,,,,
PUB_T1-0-20260914-20:25:42-1884,config,,,*.sensor[*].mobility.initFromDisplayString,false,,,,,,,
PUB_T1-0-20260914-20:25:42-1884,config,,,*.sensor[*].mobility.initialX,"uniform(1m, 19m)",,,,,,,
PUB_T1-0-20260914-20:25:42-1884,config,,,*.sensor[*].mobility.initialY,"uniform(1m, 19m)",,,,,,,
PUB_T1-0-20260914-20:25:42-1884,config,,,*.sensor[*].mobility.initialZ,0m,,,,,,,
