Payload_B,Runs,Sent_mean,Received_mean,PDR_mean_percent,PDR_std,Loss_mean_percent,Delay_mean_ms,Delay_std_ms,Delay_max_observed_ms,Throughput_mean_bps,Throughput_std_bps,Total_Energy_mean_J,Total_Energy_std_J,Energy_per_packet_mean_mJ,Energy_per_packet_std_mJ
20,5,720.0,720.0,100.0,0.0,0.0,4.44291222702222,0.021922137678345343,5.580449203,192.0,0.0,1.1910921247149404,1.2574640794797414e-05,1.6542946176596394,1.7464778881686694e-05
50,5,720.0,720.0,100.0,0.0,0.0,5.40531222702222,0.021922137678345256,6.542849203,480.0,0.0,1.657607259114976,1.257464078725526e-05,2.3022323043263557,1.7464778871051257e-05
80,5,720.0,720.0,100.0,0.0,0.0,6.36771222702222,0.021922137678345343,7.505249203,768.0,0.0,2.124122393514944,1.2574640801472532e-05,2.9501699909929777,1.7464778890948403e-05
100,5,720.0,720.0,100.0,0.0,0.0,10.1133233477332,0.024775017002289453,12.363267609000001,960.0,0.0,3.151836819118712,1.2539266430795557e-05,4.377551137664878,1.7415647820486127e-05
150,5,720.0,720.0,100.0,0.0,0.0,11.717323347733199,0.02477501700228977,13.967267609,1440.0,0.0,3.9293620431186898,1.2539266440173813e-05,5.457447282109292,1.7415647833368173e-05
250,5,720.0,720.0,100.0,0.0,0.0,18.0189700239998,0.0324174525657329,26.767473585,2400.0,0.0,6.201116852082194,1.247712510266201e-05,8.612662294558604,1.732934042044264e-05
500,5,720.0,717.4,99.63888888888889,0.41201102706086773,0.3611111111111086,36.691304445727404,1.3500164361410794,89.052531186,4782.666666666667,19.776529298921933,12.266147991886669,0.027338406216549715,17.098354685717617,0.09514745076995514
