Sensors,Runs,Critical_Sent,Critical_Received,Delivery_percent,Loss_percent,Delay_mean_ms,Delay_std_ms,Delay_min_ms,Delay_max_ms
5,5,5,5,100.0,0.0,3.9164228554,0.3505299993323388,3.340444196,4.300411038
10,5,5,5,100.0,0.0,4.6204228554,0.5059732219474954,3.980415936,5.260444196
20,5,5,5,100.0,0.0,4.108422855400001,0.7706534088420874,3.340431181,4.940415936
30,5,5,5,100.0,0.0,4.6204228554,0.815841749488177,3.660411926,5.580415936
40,5,5,5,100.0,0.0,4.1084228554,1.075685040037245,3.340415936,5.580411926
