N,Runs,PDR_mean_percent,PDR_std,Loss_mean_percent,Loss_std,Delay_mean_ms,Delay_std_ms,Throughput_mean_bps,Throughput_std_bps,Energy_per_packet_mean_mJ,Energy_per_packet_std_mJ
5,5,100.0,0.0,0.0,0.0,5.365225821,0.031019619254269364,200.0,0.0,1.142591118433194,0.0005132589683878034
10,5,100.0,0.0,0.0,0.0,5.3729035315,0.07260760077862079,400.0,0.0,1.969991274568322,0.00018099941493767034
20,5,100.0,0.0,0.0,0.0,5.47367286094,0.11619136295694946,800.0,0.0,3.631609567779809,0.00034566870937093074
30,5,100.0,0.0,0.0,0.0,5.46679221937334,0.1034080096405437,1200.0,0.0,5.2947279725420335,0.0003880406094821735
40,5,100.0,0.0,0.0,0.0,5.564848135485,0.08910864235172311,1600.0,0.0,6.961395221405013,0.006847163736756373
